doc_id,title,language,source_pdf_name,local_pdf_path,license_or_use_note,allow_in_dataset,notes
arxiv_2503_05524v1,Revisiting Beamforming Design for Stable Millimeter-Wave Communications Under Blockages,en,2503_05524v1.pdf,data/private/journalmix_v1/source_pdfs/compound_multi_panel/2503_05524v1.pdf,arXiv:2503.05524v1 CC/author-license,yes,"bucket_hint=compound_multi_panel; query=abs:""subfigure"" OR abs:""multi-panel"" OR abs:""panel (a)"""
arxiv_2412_19303v1,Manga Generation via Layout-controllable Diffusion,en,2412_19303v1.pdf,data/private/journalmix_v1/source_pdfs/compound_multi_panel/2412_19303v1.pdf,arXiv:2412.19303v1 CC/author-license,yes,"bucket_hint=compound_multi_panel; query=abs:""subfigure"" OR abs:""multi-panel"" OR abs:""panel (a)"""
arxiv_2203_11714v1,Location- and Orientation-aware Millimeter Wave Beam Selection for Multi-Panel Antenna Devices,en,2203_11714v1.pdf,data/private/journalmix_v1/source_pdfs/compound_multi_panel/2203_11714v1.pdf,arXiv:2203.11714v1 CC/author-license,yes,"bucket_hint=compound_multi_panel; query=abs:""subfigure"" OR abs:""multi-panel"" OR abs:""panel (a)"""
arxiv_2601_00251v1,Evolution of UE in Massive MIMO Systems for 6G: From Passive to Active,en,2601_00251v1.pdf,data/private/journalmix_v1/source_pdfs/compound_multi_panel/2601_00251v1.pdf,arXiv:2601.00251v1 CC/author-license,yes,"bucket_hint=compound_multi_panel; query=abs:""subfigure"" OR abs:""multi-panel"" OR abs:""panel (a)"""
arxiv_2603_25804v1,RealChart2Code: Advancing Chart-to-Code Generation with Real Data and Multi-Task Evaluation,en,2603_25804v1.pdf,data/private/journalmix_v1/source_pdfs/compound_multi_panel/2603_25804v1.pdf,arXiv:2603.25804v1 CC/author-license,yes,"bucket_hint=compound_multi_panel; query=abs:""subfigure"" OR abs:""multi-panel"" OR abs:""panel (a)"""
arxiv_2010_02319v1,Tensor Fields for Data Extraction from Chart Images: Bar Charts and Scatter Plots,en,2010_02319v1.pdf,data/private/journalmix_v1/source_pdfs/vector_dominant/2010_02319v1.pdf,arXiv:2010.02319v1 CC/author-license,yes,"bucket_hint=vector_dominant; query=abs:""bar chart"" OR abs:""line graph"" OR abs:""scatter plot"""
arxiv_2307_11056v1,"DataXploreFines: Generalized Data for Informed Decision, Making, An Interactive Shiny Application for Data Analysis and ",en,2307_11056v1.pdf,data/private/journalmix_v1/source_pdfs/vector_dominant/2307_11056v1.pdf,arXiv:2307.11056v1 CC/author-license,yes,"bucket_hint=vector_dominant; query=abs:""bar chart"" OR abs:""line graph"" OR abs:""scatter plot"""
arxiv_2201_05043v1,ChartText: Linking Text with Charts in Documents,en,2201_05043v1.pdf,data/private/journalmix_v1/source_pdfs/vector_dominant/2201_05043v1.pdf,arXiv:2201.05043v1 CC/author-license,yes,"bucket_hint=vector_dominant; query=abs:""bar chart"" OR abs:""line graph"" OR abs:""scatter plot"""
arxiv_2207_05401v2,Who benefits from Visualization Adaptations? Towards a better Understanding of the Influence of Visualization Literacy,en,2207_05401v2.pdf,data/private/journalmix_v1/source_pdfs/vector_dominant/2207_05401v2.pdf,arXiv:2207.05401v2 CC/author-license,yes,"bucket_hint=vector_dominant; query=abs:""bar chart"" OR abs:""line graph"" OR abs:""scatter plot"""
arxiv_2409_07306v1,Visual Compositional Data Analytics for Spatial Transcriptomics,en,2409_07306v1.pdf,data/private/journalmix_v1/source_pdfs/vector_dominant/2409_07306v1.pdf,arXiv:2409.07306v1 CC/author-license,yes,"bucket_hint=vector_dominant; query=abs:""bar chart"" OR abs:""line graph"" OR abs:""scatter plot"""
arxiv_2211_05965v1,Using dynamic circles and squares to visualize spatio-temporal variation,en,2211_05965v1.pdf,data/private/journalmix_v1/source_pdfs/vector_dominant/2211_05965v1.pdf,arXiv:2211.05965v1 CC/author-license,yes,"bucket_hint=vector_dominant; query=abs:""bar chart"" OR abs:""line graph"" OR abs:""scatter plot"""
arxiv_2001_03271v2,Du Bois Wrapped Bar Chart: Visualizing categorical data with disproportionate values,en,2001_03271v2.pdf,data/private/journalmix_v1/source_pdfs/vector_dominant/2001_03271v2.pdf,arXiv:2001.03271v2 CC/author-license,yes,"bucket_hint=vector_dominant; query=abs:""bar chart"" OR abs:""line graph"" OR abs:""scatter plot"""
arxiv_1801_08163v2,DVQA: Understanding Data Visualizations via Question Answering,en,1801_08163v2.pdf,data/private/journalmix_v1/source_pdfs/vector_dominant/1801_08163v2.pdf,arXiv:1801.08163v2 CC/author-license,yes,"bucket_hint=vector_dominant; query=abs:""bar chart"" OR abs:""line graph"" OR abs:""scatter plot"""
arxiv_2504_21559v1,Black-Box Visual Prompt Engineering for Mitigating Object Hallucination in Large Vision Language Models,en,2504_21559v1.pdf,data/private/journalmix_v1/source_pdfs/mixed_vector_raster/2504_21559v1.pdf,arXiv:2504.21559v1 CC/author-license,yes,"bucket_hint=mixed_vector_raster; query=abs:""annotated image"" OR abs:""overlay"" AND abs:""bounding box"
arxiv_1604_06646v1,Synthetic Data for Text Localisation in Natural Images,en,1604_06646v1.pdf,data/private/journalmix_v1/source_pdfs/mixed_vector_raster/1604_06646v1.pdf,arXiv:1604.06646v1 CC/author-license,yes,"bucket_hint=mixed_vector_raster; query=abs:""annotated image"" OR abs:""overlay"" AND abs:""bounding box"
arxiv_2010_09525v1,Weakly-supervised Learning For Catheter Segmentation in 3D Frustum Ultrasound,en,2010_09525v1.pdf,data/private/journalmix_v1/source_pdfs/mixed_vector_raster/2010_09525v1.pdf,arXiv:2010.09525v1 CC/author-license,yes,"bucket_hint=mixed_vector_raster; query=abs:""annotated image"" OR abs:""overlay"" AND abs:""bounding box"
arxiv_2312_00784v2,ViP-LLaVA: Making Large Multimodal Models Understand Arbitrary Visual Prompts,en,2312_00784v2.pdf,data/private/journalmix_v1/source_pdfs/mixed_vector_raster/2312_00784v2.pdf,arXiv:2312.00784v2 CC/author-license,yes,"bucket_hint=mixed_vector_raster; query=abs:""annotated image"" OR abs:""overlay"" AND abs:""bounding box"
arxiv_2403_10369v3,Open Stamped Parts Dataset,en,2403_10369v3.pdf,data/private/journalmix_v1/source_pdfs/mixed_vector_raster/2403_10369v3.pdf,arXiv:2403.10369v3 CC/author-license,yes,"bucket_hint=mixed_vector_raster; query=abs:""annotated image"" OR abs:""overlay"" AND abs:""bounding box"
arxiv_2509_20343v1,Efficient Encoder-Free Pose Conditioning and Pose Control for Virtual Try-On,en,2509_20343v1.pdf,data/private/journalmix_v1/source_pdfs/mixed_vector_raster/2509_20343v1.pdf,arXiv:2509.20343v1 CC/author-license,yes,"bucket_hint=mixed_vector_raster; query=abs:""annotated image"" OR abs:""overlay"" AND abs:""bounding box"
arxiv_2412_07509v1,Enhancing 3D Object Detection in Autonomous Vehicles Based on Synthetic Virtual Environment Analysis,en,2412_07509v1.pdf,data/private/journalmix_v1/source_pdfs/mixed_vector_raster/2412_07509v1.pdf,arXiv:2412.07509v1 CC/author-license,yes,"bucket_hint=mixed_vector_raster; query=abs:""annotated image"" OR abs:""overlay"" AND abs:""bounding box"
arxiv_2602_15918v1,EarthSpatialBench: Benchmarking Spatial Reasoning Capabilities of Multimodal LLMs on Earth Imagery,en,2602_15918v1.pdf,data/private/journalmix_v1/source_pdfs/mixed_vector_raster/2602_15918v1.pdf,arXiv:2602.15918v1 CC/author-license,yes,"bucket_hint=mixed_vector_raster; query=abs:""annotated image"" OR abs:""overlay"" AND abs:""bounding box"
